abolish eltöröl
strictly szigorúan
striking meglepő
strip szalag
strip szalag
strive törekszik
stroke ütés
structural szerkezeti
stumble botlás
stun elkábít
stunning lenyűgöző
submission benyújtás
subscriber előfizető
subscription Feliratkozás
subsequent későbbi
subsequently később
subsidy szubvenció
substantial lényeges
substantially lényegesen
substitute helyettes
substitution helyettesítés
subtle kifinomult
suburb külváros
suburban külvárosi
succession sorrend
successive egymást követő
successor utód
suck szív
sue perel
suffering szenvedő
sufficient elegendő
sufficiently kellően
suicide öngyilkosság
suite lakosztály
summit csúcstalálkozó
super szuper
superb nagyszerű
superintendent felügyelő
superior kiváló
supervise felügyel
supervision felügyelet
supervisor felügyelő
supplement kiegészítés
supportive támogató
supposedly állítólag
suppress elnyom
supreme legfőbb
surge túlfeszültség
surgeon sebész
surgical sebészeti
surplus többlet
surrender megadás
surveillance felügyelet
survival túlélés
survivor túlélő
suspend felfüggeszt
suspension felfüggesztés
suspicion gyanú
suspicious gyanús
sustain elgondolkozik
sustainable állhatatos
swallow Nyel
swing hinta
sword kard
symbolic szimbolikus
sympathetic szimpatikus
syndrome szindróma
synthesis szintézis
systematic szisztematikus
tackle feloldás
tactic taktika
tactical taktikai
tag címke
tap Koppintson a
taxpayer adófizető
technological technikai
teen tinédzser
temple templom
temporarily ideiglenesen
tempt csábít
tenant bérlő
tendency tendencia
tender pályázati kiírás
tension feszültség
tenure birtoklás
terminal terminál
terminate befejez
terms kifejezés
terrain terep
terribly szörnyen
terrific félelmetes
terrify megijeszt
territory terület
terror terror
terrorism terrorizmus
terrorist terrorista
testify tanúsít
testimony bizonyság
testing tesztelés
textbook tankönyv
texture struktúra
thankfully hálásan
theatrical színházi
theft lopás
theology teológia
theoretical elméleti
therapist terapeuta
thereafter ezután
thereby ezáltal
thesis tézis
thorough alapos
thoroughly alaposan
thoughtful figyelmes
thought-provoking elgondolkodtató
thread cérna
threshold küszöb
thrilled izgatott
thrive virágzik
thumb hüvelykujj
tide árapály
tighten meghúz
timber fűrészáru
timely időszerű
timing időzítés
tissue szövet
tobacco dohány
tolerance megértés
tolerate tolerál
toll díj
top felső
torture kínzás
toss dobás
total teljes
tournament verseny
toxic mérgező
trace nyom
trademark védjegy
trading kereskedés
tragedy tragédia
tragic tragikus
trail nyom
trailer filmelőzetes
trait jellemvonás
transaction tranzakció
transcript átirat
transformation átalakítás
transit tranzit
transmission terjedés
transmit átad
transparency átláthatóság
transparent átlátszó
trap csapda
trauma sérülés
treasure kincs
treaty szerződés
tremendous óriási
tribal törzsi
tribe törzs
tribute tisztelgés
trigger indítvány
trillion billió
trio trió
triumph diadal
troop csapat
trophy trófea
troubled zavaros
trustee megbízott
tsunami szökőár
tuition tandíj
tumor tumor
turnout kiderül
turnover forgalom
twist csavar
ultimate végső
unacceptable elfogadhatatlan
uncertainty bizonytalanság
unconstitutional alkotmányellenes
undergo átmegy
undergraduate egyetemi hallgató
underlying mögöttes
undermine alááss
undertake vállal
undoubtedly kétségtelenül
unfold kibontakozik
unfortunate szerencsétlen
unify egyesít
unite egyesül
unity egység
universal egyetemes
unprecedented példátlan
unveil leleplez
upcoming közelgő
upgrade frissítés
uphold fenntart
urgent sürgős
usage használat
useless hiábavaló
utility hasznosság
utilize felhasznál
utterly teljesen
vacuum vákuum
vague homályos
valid érvényes
validity érvényesség
vanish eltűnik
variable változó
variation variáció
varied változatos
vein véna
venture vállalkozás
verbal szóbeli
verdict ítélet
verify igazol
verse vers
versus ellen
vertical függőleges
vessel hajó
veteran veterán
viable életképes
vibrant élénk
vice helyettes
vicious gonosz
viewpoint nézőpont
violate megsért
violation megsértés
virtue erény
visa Vízum
visible látható
vocal hangos
voluntary önkéntes
voting szavazás
vow eskü
vulnerability sebezhetőség
vulnerable sebezhető
wander vándorol
ward gyülekezet
warehouse raktár
warfare hadviselés
warming melegítés
warrant garantál
warrior harcos
weaken gyengít
weave szövés
weed gyom
weekly heti
weird furcsa
welfare jólét
well jól
well-being jólét
whatsoever bármi is
wheat búza
whereby ezáltal
whip ostor
whoever bárki
wholly teljesen
widen kiszélesít
widespread széles körben elterjedt
widow özvegy
width szélesség
willingness hajlandóság
wipe törlés
wisdom bölcsesség
wit ész
withdraw visszavon
withdrawal visszavonás
wolf farkas
workforce munkaerő
workout edzés
workplace munkahely
workshop Műhely
worm féreg
worship imádat
worthwhile érdemes
worthy méltó
wrist csukló
yell ordít
yield hozam
